company,type_name,os,gpu_company,cpu_model,screen_type,touchscreen,ips_panel,ppi,ssd,hdd,flash_storage,hybrid,ram,weight,cpu_freq,price
HP,Notebook,Windows,AMD,Intel Core i7,Full HD,0,0,141.21199808219862,256,0,0,0,8,1.91,2.7,10.553440134508799
HP,Notebook,Windows,AMD,AMD,Full HD,0,0,141.21199808219862,0,500,0,0,4,2.1,1.5,9.830701782810475
Dell,Notebook,Other/Linux/No,AMD,Intel Core i5,Full HD,0,0,141.21199808219862,0,1024,0,0,8,2.2,1.6,10.447931687925744
HP,Ultrabook,Windows,Nvidia,Intel Core i7,Full HD,0,1,165.6321180513006,256,0,0,0,8,1.38,2.7,10.995763139986401
Microsoft,Ultrabook,Windows,Intel,Intel Core i5,Standard,1,0,200.84255993695703,256,0,0,0,8,1.252,2.5,11.175997124349399
HP,Notebook,Windows,Nvidia,Intel Core i5,Full HD,0,1,157.3505121487356,256,0,0,0,6,1.58,2.5,10.466326711254153
Lenovo,Notebook,Windows,Intel,Intel Core i3,Full HD,0,0,141.21199808219862,0,1024,0,0,4,1.85,2.0,10.003649579435109
Asus,Ultrabook,Windows,Nvidia,Intel Core i7,Full HD,0,1,157.3505121487356,256,0,0,0,8,1.3,2.7,11.059802551332528
MSI,Gaming,Windows,Nvidia,Intel Core i7,Full HD,0,0,141.21199808219862,256,1024,0,0,16,2.2,2.8,11.144929536976539
Lenovo,Notebook,Windows,Intel,Intel Core i7,Full HD,0,1,157.3505121487356,256,0,0,0,8,1.58,2.7,11.275366001921657
Asus,Ultrabook,Windows,Nvidia,Intel Core i7,Full HD,0,0,141.21199808219862,256,1024,0,0,16,1.5,1.8,11.116023587522552
Dell,Ultrabook,Windows,Intel,Intel Core i7,Quad HD+,1,0,202.37276851499232,256,0,0,0,8,1.23,2.4,11.204686881123047
Lenovo,2 in 1 Convertible,Windows,Intel,Intel Core i5,Full HD,1,1,165.6321180513006,256,0,0,0,8,1.37,2.5,11.219091173033249
HP,Notebook,Windows,Intel,Intel Core i5,Standard,0,1,111.93520355955211,0,500,0,0,4,1.63,1.6,10.557608001127225
Dell,Ultrabook,Windows,Intel,Intel Core i5,Full HD,0,1,165.6321180513006,256,0,0,0,8,1.21,1.6,11.371292773835275
HP,2 in 1 Convertible,Windows,Intel,Intel Core i5,Full HD,1,1,165.6321180513006,256,0,0,0,8,1.26,1.6,11.219077757327483
HP,Notebook,Windows,Intel,Intel Core i7,Full HD,0,0,157.3505121487356,512,0,0,0,8,1.63,1.8,10.963999833159656
Dell,Notebook,Windows,Nvidia,Intel Core i7,Full HD,0,1,141.21199808219862,256,1024,0,0,8,2.16,1.8,11.005842827483072
Asus,Notebook,Windows,Nvidia,Intel Core i3,Full HD,0,0,127.33567457123111,0,1024,0,0,4,2.0,2.0,10.310651217279874
Asus,Notebook,Windows,Nvidia,Intel Core i7,Full HD,0,0,141.21199808219862,256,0,0,0,8,1.7,1.8,10.994873796112499
Acer,Notebook,Windows,Intel,Intel Core i3,Full HD,1,1,141.21199808219862,0,1024,0,0,6,2.1,2.4,10.147296104293922
MSI,Gaming,Windows,Nvidia,Intel Core i7,Full HD,0,0,141.21199808219862,256,2048,0,0,16,1.8,2.8,11.690468958311083
Lenovo,Notebook,Other/Linux/No,Nvidia,Intel Core i5,Full HD,0,0,141.21199808219862,256,0,0,0,8,2.2,2.5,10.41971854096067
HP,Notebook,Windows,Nvidia,Intel Core i7,Full HD,0,0,127.33567457123111,512,0,0,0,16,2.5,1.8,11.123136836247072
Acer,Notebook,Windows,AMD,AMD,Standard,0,0,100.45466986113651,256,0,0,0,4,2.1,3.0,10.087058328730514
HP,Notebook,Other/Linux/No,Intel,Intel Other,Standard,0,0,100.45466986113651,0,500,0,0,4,1.86,1.6,9.53249633228804
HP,Notebook,Windows,Intel,Intel Core i5,Full HD,0,0,157.3505121487356,0,1024,0,0,8,1.63,1.6,10.675076159402636
Asus,Notebook,Windows,AMD,AMD,Standard,0,0,111.93520355955211,64,0,0,0,4,1.65,1.5,9.603192942033504
Dell,Notebook,Windows,AMD,Intel Core i7,Full HD,0,0,127.33567457123111,256,2048,0,0,16,2.8,1.8,11.216942367479062
HP,Notebook,Windows,Intel,Intel Core i5,Full HD,0,0,127.33567457123111,256,0,0,0,8,2.5,1.6,10.808616219704092
Dell,Notebook,Windows,AMD,Intel Core i5,Standard,0,0,100.45466986113651,0,1024,0,0,8,2.36,2.5,10.435467830374515
Dell,Notebook,Windows,AMD,Intel Core i3,Full HD,0,0,141.21199808219862,0,1024,0,0,4,2.2,2.0,10.082637418164447
Acer,Ultrabook,Windows,Intel,Intel Core i7,Full HD,0,1,157.3505121487356,256,0,0,0,8,1.6,1.8,10.76004951120163
Acer,Notebook,Windows,Nvidia,Intel Core i3,Full HD,0,0,141.21199808219862,256,0,0,0,4,2.2,2.7,10.324727579759655
HP,Notebook,Windows,Intel,Intel Core i7,Standard,0,0,100.45466986113651,0,1024,0,0,8,2.05,2.7,10.36916935613284
HP,Notebook,Windows,Intel,Intel Core i7,Full HD,0,0,157.3505121487356,256,0,0,0,8,1.63,1.8,10.87126955919842
Lenovo,Notebook,Other/Linux/No,Intel,Intel Other,Standard,0,0,100.45466986113651,0,1024,0,0,4,1.9,1.1,9.50651131182387
Asus,Gaming,Windows,Nvidia,Intel Core i5,Full HD,0,0,127.33567457123111,128,1024,0,0,8,3.0,2.5,10.819338187581879
Lenovo,Notebook,Other/Linux/No,Nvidia,Intel Core i5,Full HD,0,0,141.21199808219862,0,1024,0,0,4,2.2,2.5,10.188215265161473
HP,Notebook,Windows,Intel,Intel Core i5,Full HD,0,1,165.6321180513006,256,0,0,0,4,1.32,2.5,10.52524613700842
Acer,Notebook,Windows,Nvidia,Intel Core i3,Full HD,0,1,127.33567457123111,0,1024,0,0,4,3.0,2.7,10.460213454484876
Lenovo,Notebook,Windows,AMD,Intel Core i5,Full HD,0,1,157.3505121487356,256,0,0,0,8,1.75,1.6,10.993109549366105
Lenovo,Gaming,Other/Linux/No,Nvidia,Intel Core i7,Full HD,0,1,141.21199808219862,256,0,0,0,8,2.4,2.8,10.742918838113225
Toshiba,Notebook,Windows,Intel,Intel Core i5,Standard,0,0,100.45466986113651,0,500,0,0,4,2.1,2.3,10.37586336592692
HP,Notebook,Windows,AMD,AMD,Standard,0,0,100.45466986113651,256,0,0,0,4,1.86,2.5,9.886392257107492
Asus,Ultrabook,Windows,Intel,Intel Core i7,Full HD,0,0,157.3505121487356,256,0,0,0,8,1.25,1.8,10.977738840291302
HP,Ultrabook,Windows,Intel,Intel Other,Ultra HD,1,1,202.37276851499232,512,0,0,0,8,0.97,1.2,11.583449164142351
Asus,Notebook,Windows,Intel,Intel Other,Full HD,0,0,141.21199808219862,0,1024,0,0,4,2.0,1.1,9.816239783971849
MSI,Gaming,Windows,Nvidia,Intel Core i7,Full HD,0,0,127.33567457123111,256,1024,0,0,16,2.9,2.8,11.590867506249813
Acer,Notebook,Windows,Intel,Intel Core i3,Standard,0,0,100.45466986113651,0,1024,0,0,4,2.1,2.0,10.078154890393224
Dell,Gaming,Windows,Nvidia,Intel Core i7,Full HD,0,0,141.21199808219862,512,0,0,0,16,2.56,2.8,11.105889123120578
Dell,Gaming,Windows,Nvidia,Intel Core i7,Full HD,0,0,141.21199808219862,0,0,0,1024,8,2.62,2.8,10.776870783399007
Lenovo,Notebook,Windows,Intel,Intel Core i5,Standard,0,0,100.45466986113651,128,0,0,0,4,1.9,2.5,10.186182208476863
MSI,Gaming,Windows,Nvidia,Intel Core i7,Full HD,0,0,127.33567457123111,256,1024,0,0,16,2.8,2.8,11.519901078706654
HP,Ultrabook,Windows,Intel,Intel Core i5,Full HD,0,0,157.3505121487356,256,0,0,0,4,1.48,2.7,10.962145525697204
HP,Notebook,Windows,AMD,Intel Core i5,Full HD,0,0,141.21199808219862,256,0,0,0,6,1.91,1.6,10.403686917060819
Lenovo,2 in 1 Convertible,Windows,Intel,Intel Core i3,Full HD,1,1,157.3505121487356,256,0,0,0,4,1.74,2.4,10.41971854096067
Asus,2 in 1 Convertible,Windows,Intel,Intel Core i5,Full HD,1,0,165.6321180513006,256,0,0,0,8,1.1,1.6,11.15716438904118
Dell,2 in 1 Convertible,Windows,Intel,Intel Core i7,Full HD,1,0,141.21199808219862,256,0,0,0,8,1.56,1.8,10.931176536200338
Toshiba,Notebook,Windows,Intel,Intel Core i3,Standard,0,0,100.45466986113651,0,500,0,0,4,2.1,2.2,10.078154890393224
Asus,Notebook,Windows,AMD,AMD,Standard,0,0,100.45466986113651,0,1024,0,0,4,2.03,3.0,9.974551610967133
Acer,Notebook,Windows,Nvidia,Intel Core i5,Full HD,0,1,127.33567457123111,256,0,0,0,4,3.0,1.6,10.666417292697274
Dell,Notebook,Windows,AMD,Intel Core i5,Full HD,0,0,141.21199808219862,256,0,0,0,8,2.13,1.6,10.565891980261542
Lenovo,Gaming,Windows,Nvidia,Intel Core i7,Full HD,0,1,141.21199808219862,256,0,0,0,16,2.5,2.8,10.959366298617336
Acer,Notebook,Windows,Intel,Intel Other,Standard,0,0,100.45466986113651,0,1024,0,0,4,2.1,1.1,9.827793708166928
